,product_id,seller_id,original_price,quantity_sold,total_reviews,total_review_pages
358,151588148,162061,4990000,N/A,0,0
359,193263880,162061,2990000,N/A,0,0
360,179159231,162061,3890000,N/A,0,0
361,143358429,162061,1990000,N/A,0,0
362,184696247,162061,3890000,N/A,0,0
363,142545270,162061,2790000,N/A,0,0
364,196193895,162061,3950000,N/A,0,0
365,119461456,162061,3750000,4,1,1
366,196519562,162061,2550000,N/A,0,0
367,135332196,162061,1790000,3,0,0
368,125766378,162061,2930000,1,1,1
369,123565899,162061,4450000,3,1,1
370,132068858,162061,3890000,1,1,1
371,124877310,86805,5490000,N/A,0,0
372,170338359,86805,3450000,N/A,0,0
373,179438711,86805,2890000,N/A,0,0
374,172313857,86805,2990000,N/A,0,0
375,197553025,86805,3390000,N/A,0,0
376,173764269,86805,4690000,N/A,0,0
377,179438706,86805,4290000,1,1,1
378,195333531,86805,10490000,N/A,0,0
379,142028538,86805,6490000,N/A,0,0
380,195352781,86805,8990000,N/A,0,0
381,165700071,86805,5990000,N/A,0,0
382,141529940,86805,4290000,N/A,0,0
383,190701486,86805,4990000,N/A,0,0
384,140747649,86805,3790000,N/A,0,0
385,166389506,86805,2490000,1,0,0
386,179930699,86805,2990000,N/A,0,0
387,179930704,86805,3190000,N/A,0,0
388,173764601,86805,5690000,N/A,0,0
389,57809866,86805,2490000,N/A,0,0
390,193979830,86805,6990000,N/A,0,0
391,137582801,86805,3690000,N/A,0,0
392,120450353,86805,3690000,N/A,0,0
393,125766378,86805,3690000,N/A,0,0
394,195318889,122357,7490000,11,2,1
395,195311658,122357,8490000,7,3,1
396,195334253,122357,8990000,6,4,1
397,195319552,122357,5990000,6,1,1
398,195436019,122357,4990000,1,0,0
399,99862142,122357,9990000,37,19,1
400,197143907,122357,3990000,N/A,0,0
401,195231233,122357,3890000,N/A,0,0
402,177746939,77917,11000000,15,4,1
403,173764269,77917,3985000,2,1,1
404,62269749,77917,28990000,40,19,1
405,126219116,77917,10990000,30,10,1
406,177141832,77917,8000000,3,2,1
407,132234204,77917,22590000,12,5,1
408,171934203,77917,9000000,2,1,1
409,173764601,77917,6000000,3,1,1
410,179159231,235971,4490000,3,2,1
411,198203859,235971,10490000,N/A,0,0
412,195323206,235971,5990000,N/A,0,0
413,140221779,235971,8490000,1,0,0
414,194125248,235971,3490000,N/A,0,0
415,198111545,235971,8490000,N/A,0,0
416,196193895,235971,4490000,N/A,0,0
417,130744724,235971,3490000,1,0,0
418,151588148,235971,6690000,N/A,0,0
419,123561325,235971,19990000,N/A,0,0
420,184667324,235971,6490000,N/A,0,0
421,192036708,213861,4990000,1,1,1
422,195247535,213861,13990000,1,1,1
423,144870494,213861,3290000,6,1,1
424,195333531,213861,10490000,N/A,0,0
425,195352781,213861,8990000,N/A,0,0
426,176036536,213861,8990000,N/A,0,0
427,165700071,213861,5990000,3,2,1
428,171110666,213861,12990000,N/A,0,0
429,164923596,213861,4290000,4,1,1
430,132068858,213861,4490000,5,4,1
431,181699158,150440,4790000,1,0,0
432,181699058,150440,7790000,N/A,0,0
433,181699331,150440,9590000,N/A,0,0
434,190691224,150440,8890000,N/A,0,0
435,190558349,150440,11590000,N/A,0,0
436,181699369,150440,3990000,N/A,0,0
437,181699278,150440,4550000,N/A,0,0
438,190558337,150440,5290000,N/A,0,0
439,181699370,150440,3890000,N/A,0,0
440,190558359,150440,6690000,N/A,0,0
441,191144763,150440,2890000,N/A,0,0
442,108888574,63,850000,56,17,1
443,147058165,63,2929000,15,5,1
444,191916060,63,2590000,N/A,0,0
445,108888161,63,1690000,18,5,1
446,57809866,63,2450000,67,16,1
447,181926713,63,2890000,N/A,0,0
448,147438290,63,3350000,N/A,0,0
449,93502532,63,2090000,26,11,1
450,119421964,10016,3690000,39,16,1
451,179717941,10016,33990000,14,8,1
452,178951652,10016,9990000,6,5,1
